MovieID,Title,Genres
3340,Bride of the Monster (1956),Horror|Sci-Fi
1150,"Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)",Drama
2236,Simon Birch (1998),Drama
839,"Crow: City of Angels, The (1996)",Action|Thriller
851,Basquiat (1996),Drama
1901,Dear Jesse (1997),Documentary
3485,Autopsy (Macchie Solari) (1975),Horror
407,In the Mouth of Madness (1995),Horror|Thriller
2117,Nineteen Eighty-Four (1984),Drama|Sci-Fi
3827,Space Cowboys (2000),Action|Sci-Fi
3365,"Searchers, The (1956)",Western
364,"Lion King, The (1994)",Animation|Children's|Musical
263,Ladybird Ladybird (1994),Drama
1804,"Newton Boys, The (1998)",Crime|Drama
2642,Superman III (1983),Action|Adventure|Sci-Fi
2058,"Negotiator, The (1998)",Action|Thriller
185,"Net, The (1995)",Sci-Fi|Thriller
1426,Zeus and Roxanne (1997),Children's
2875,Sommersby (1993),Drama|Mystery|Romance
3267,"Mariachi, El (1992)",Action|Thriller
1570,Tetsuo II: Body Hammer (1992),Sci-Fi
3418,Thelma & Louise (1991),Action|Drama
3157,Stuart Little (1999),Children's|Comedy
1270,Back to the Future (1985),Comedy|Sci-Fi
1070,Macao (1952),Adventure
2876,Thumbelina (1994),Animation|Children's
1394,Raising Arizona (1987),Comedy
973,Meet John Doe (1941),Drama
1704,Good Will Hunting (1997),Drama
2475,52 Pick-Up (1986),Action|Mystery|Thriller
3681,For a Few Dollars More (1965),Western
1265,Groundhog Day (1993),Comedy|Romance
96,In the Bleak Midwinter (1995),Comedy
113,Before and After (1996),Drama|Mystery
3420,...And Justice for All (1979),Drama|Thriller
2679,Finding North (1999),Drama|Romance
1017,Swiss Family Robinson (1960),Adventure|Children's
3626,8 1/2 Women (1999),Comedy
33,Wings of Courage (1995),Adventure|Romance
1916,Buffalo 66 (1998),Action|Comedy|Drama
3410,Soft Fruit (1999),Comedy|Drama
368,Maverick (1994),Action|Comedy|Western
3082,"World Is Not Enough, The (1999)",Action|Thriller
2811,With Friends Like These... (1998),Comedy
3156,Bicentennial Man (1999),Comedy|Drama|Sci-Fi
565,Cronos (1992),Horror
2541,Cruel Intentions (1999),Drama
3689,Porky's II: The Next Day (1983),Comedy
15,Cutthroat Island (1995),Action|Adventure|Romance
3462,Modern Times (1936),Comedy
3277,Beloved/Friend (Amigo/Amado) (1999),Drama
1726,"Postman, The (1997)",Drama
3296,To Sir with Love (1967),Drama
457,"Fugitive, The (1993)",Action|Thriller
1058,Bitter Sugar (Azucar Amargo) (1996),Drama
2581,Never Been Kissed (1999),Comedy|Romance
3138,Stealing Home (1988),Drama
2418,Nothing in Common (1986),Comedy
2602,Mighty Peking Man (Hsing hsing wang) (1977),Adventure|Sci-Fi
776,Babyfever (1994),Comedy|Drama
2824,On the Ropes (1999),Documentary
1152,He Walked by Night (1948),Crime|Film-Noir|Thriller
2118,"Dead Zone, The (1983)",Horror|Thriller
1543,"Designated Mourner, The (1997)",Drama
807,"Rendezvous in Paris (Rendez-vous de Paris, Les) (1995)",Comedy|Romance
2871,Deliverance (1972),Adventure|Thriller
1225,Amadeus (1984),Drama
3187,Trans (1998),Drama
1831,Lost in Space (1998),Action|Sci-Fi|Thriller
2211,Secret Agent (1936),Thriller
18,Four Rooms (1995),Thriller
3746,Butterfly (La Lengua de las Mariposas) (2000),Drama|War
2771,Brokedown Palace (1999),Drama
1369,I Can't Sleep (J'ai pas sommeil) (1994),Drama|Thriller
2555,Baby Geniuses (1999),Comedy
2903,Psycho III (1986),Horror|Thriller
3929,"Bank Dick, The (1940)",Comedy
3851,I'm the One That I Want (2000),Comedy
3389,Let's Get Harry (1986),Action|Adventure
1332,"Believers, The (1987)",Horror|Thriller
2408,Cocoon: The Return (1988),Comedy|Sci-Fi
3818,Pot O' Gold (1941),Comedy|Musical
2019,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Action|Drama
202,Total Eclipse (1995),Drama|Romance
2605,Entrapment (1999),Crime|Thriller
2848,Othello (1952),Drama
1731,Mr. Magoo (1997),Comedy
1905,Marie Baie Des Anges (1997),Drama
1460,That Darn Cat! (1997),Children's|Comedy|Mystery
2740,"Kindred, The (1986)",Horror
1839,My Giant (1998),Comedy
416,Bad Girls (1994),Western
2013,"Poseidon Adventure, The (1972)",Action|Adventure
1203,12 Angry Men (1957),Drama
1487,Selena (1997),Drama|Musical
1605,Excess Baggage (1997),Adventure|Romance
2395,Rushmore (1998),Comedy
2103,Tall Tale (1994),Adventure|Children's
1453,"Beautician and the Beast, The (1997)",Comedy|Romance
1090,Platoon (1986),Drama|War
